city ,latitude,longitude,sexo,amount_loss,time,year
Butantã,-23.58097311,-46.71919168,0,60,30:00.0,2010
Itaquera,-23.5401054,-46.4628718,1,0,00:00.0,2010
Itaquera,-23.541765,-46.4695623,1,300,00:00.0,2010
Morumbi,-23.6116932,-46.7259346,0,2500,20:00.0,2010
Alto de Pinheiros,-23.5445639,-46.7215672,1,9999,15:00.0,2010
Consolação,-23.5530347,-46.6554117,1,45,30:00.0,2010
Vila Água Funda,-23.6342721,-46.62422441,1,2450,30:00.0,2010
ジャルジン・サンタ・テレジーニャ (ペドレイラ),-23.6985877,-46.6389508,1,2000,30:00.0,2010
Santo Amaro,-23.6539562,-46.699375,1,500,00:00.0,2010
Vila Pereira Cerca,-23.4963711,-46.7097753,1,3000,00:00.0,2010
São Paulo,-23.6012375,-46.5993755,0,4500,00:00.0,2010
Santa Cecília,-23.5362468,-46.6542951,0,0,30:00.0,2010
Jardim Rizzo,-23.5729713,-46.735273,1,1,00:00.0,2010
Vila das Belezas,-23.6453879,-46.7395729,0,40000,15:00.0,2010
Bosque da Saúde,-23.6113173,-46.6220662,0,1,00:00.0,2010
São Domingos,-23.49108694,-46.74923452,1,50,50:00.0,2010
Vila Mariana,-23.5873136,-46.6410413,0,0,00:00.0,2010
Imirim,-23.4905397,-46.6536113,0,400,00:00.0,2010
Água Branca,-23.5233984,-46.6867453,0,500,30:00.0,2010
Santo Amaro,-23.6310513,-46.7099671,0,800,15:00.0,2010
"Cidade Satélite Santa Bárbara",-23.611016,-46.4731003,1,1500,45:00.0,2010
Santo Amaro,-23.6499345,-46.7059486,1,900,30:00.0,2010
Pinheiros,-23.554781,-46.686421,0,1000,00:00.0,2010
Ipiranga,-23.6013949,-46.6031752,1,500,00:00.0,2010
Consolação,-23.5477468,-46.6487806,1,800,15:00.0,2010
Penha de Franca,-23.5270731,-46.5401782,0,5000,00:00.0,2010
Penha,-23.5263112,-46.5152358,1,1400,00:00.0,2010
Jardim Santa Terezinha (Zona Leste),-23.5730282,-46.5026352,1,600,00:00.0,2010
Santana,-23.4991373,-46.6286404,0,350,00:00.0,2010
Parada Inglesa,-23.4834958,-46.6059738,1,2000,00:00.0,2010
Mooca,-23.5503367,-46.5966494,0,2500,00:00.0,2010
São Paulo,-23.547916,-46.639324,0,600,00:00.0,2010
Pirajussara,-23.6281046,-46.7674135,0,700,00:00.0,2010
Vila Clementino,-23.5970414,-46.6430726,0,1300,15:00.0,2010
"Jardim Maringá",-23.5531892,-46.5143159,0,600,00:00.0,2010
São Paulo,-23.5619132,-46.6385585,1,1200,00:00.0,2010
Cidade Ademar,-23.6941125,-46.6559084,1,12000,30:00.0,2010
Ipiranga,-23.57475452,-46.60636473,0,35,00:00.0,2010
Cidade Ademar,-23.6712594,-46.6581357,0,100,00:00.0,2010
Vila Vera,-23.6192319,-46.6050663,1,350,00:00.0,2010
Mirandópolis,-23.6104342,-46.6378124,1,650,00:00.0,2010
Campo Limpo,-23.6441044,-46.7684471,0,0,00:00.0,2010
Vila Tolstoi,-23.5998925,-46.5251538,1,1,15:00.0,2010
Sumaré,-23.54472,-46.6874163,0,690,30:00.0,2010
Jardim Malia II,-23.721853,-46.6903403,1,2000,30:00.0,2010
Vila Prudente,-23.5840863,-46.5843612,1,25000,00:00.0,2010
Bela Vista,-23.5545098,-46.6476898,1,1400,15:00.0,2010
Cidade Nova Heliópolis,-23.6020513,-46.5980729,0,40000,00:00.0,2010
Jardim do Colegio,-23.4861308,-46.6380991,0,14000,00:00.0,2010
Vila Lageado,-23.5513811,-46.7471249,1,250,30:00.0,2010
Mooca,-23.5568965,-46.5982237,1,800,00:00.0,2010
Cidade Nova Heliópolis,-23.6044699,-46.5961042,1,10000,00:00.0,2010
Jardim Três Marias,-23.6100077,-46.4730209,0,1000,00:00.0,2010
Vila Gertrudes,-23.6226342,-46.6952171,1,600,00:00.0,2010
