FID	Longitude	Latitude	Type	NEIGH_NAME	BELEDIYE
0	39.648442	24.486048	تحسين وجهات	حي العريض	العوالي
1	39.64911	24.485316	رخص المحلات	حي العريض	العوالي
2	39.649326	24.484908	رخص المحلات	حي العريض	العوالي
3	39.649352	24.484686	إزالة المباني الايلة للسقوط	حي العريض	العوالي
4	39.65399	24.479958	اسكراب وتشليح	حي العريض	العوالي
5	39.641372	24.493062	صبات خراصانية	حي العريض	العوالي
6	39.642235	24.492655	صبات خراصانية	حي العريض	العوالي
7	39.646806	24.487757	صبات خراصانية	حي العريض	العوالي
8	39.646075	24.488622	اسكراب وتشليح	حي العريض	العوالي
9	39.64713	24.487404	اسكراب وتشليح	حي العريض	العوالي
10	39.651916	24.482091	اسكراب وتشليح	حي العريض	العوالي
11	39.655818	24.477952	اسكراب وتشليح	حي العريض	العوالي
12	39.651553	24.482668	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حي العريض	العوالي
13	39.65635	24.477413	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حي العريض	العوالي
14	39.645945	24.488759	إزالة الاستراحات واحواش الماشية والعشش والصناديق المنتشره علي مداخل المدينة	حي العريض	العوالي
15	39.643351	24.491354	معالجة حاويات النظافة	حي العريض	العوالي
16	39.645531	24.489097	معالجة حاويات النظافة	حي العريض	العوالي
17	39.646919	24.487611	معالجة حاويات النظافة	حي العريض	العوالي
18	39.647336	24.487266	معالجة حاويات النظافة	حي العريض	العوالي
19	39.648525	24.485985	معالجة حاويات النظافة	حي العريض	العوالي
20	39.649089	24.485378	معالجة حاويات النظافة	حي العريض	العوالي
21	39.649579	24.484789	معالجة حاويات النظافة	حي العريض	العوالي
22	39.652301	24.481545	معالجة حاويات النظافة	حي العريض	العوالي
23	39.653521	24.480572	معالجة حاويات النظافة	حي العريض	العوالي
24	39.654549	24.479452	معالجة حاويات النظافة	حي العريض	العوالي
25	39.656534	24.477217	معالجة حاويات النظافة	حي العريض	العوالي
26	39.656874	24.476923	معالجة حاويات النظافة	حي العريض	العوالي
27	39.657083	24.476719	معالجة حاويات النظافة	حي العريض	العوالي
28	39.658297	24.47539	معالجة حاويات النظافة	حي العريض	العوالي
29	39.658613	24.475083	معالجة حاويات النظافة	حي العريض	العوالي
30	39.658857	24.474744	معالجة حاويات النظافة	حي العريض	العوالي
31	39.643343	24.491264	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
32	39.645073	24.489502	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
33	39.647086	24.487501	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
34	39.64713	24.487445	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
35	39.6473	24.487113	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
36	39.648883	24.485548	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
37	39.649644	24.484696	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
38	39.64984	24.484482	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
39	39.651437	24.48242	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
40	39.653846	24.48009	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
41	39.655633	24.478151	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
42	39.655703	24.478109	إزالة اللوحات الدعائية المخالفة	حي العريض	العوالي
